Garden,elevation,full_date,date,time,ordinal_date,order,temp,Relative humidity (%),dew point (degrees C)
Estess,2553,10/2/20 10:00,10/2/20,10:00:00 AM,276,1,12.678,23.185,-7.7
Estess,2553,10/2/20 10:30,10/2/20,10:30:00 AM,276,2,14.529,20.721,-7.683
Estess,2553,10/2/20 11:00,10/2/20,11:00:00 AM,276,3,16.415,19.31,-7.099
Estess,2553,10/2/20 11:30,10/2/20,11:30:00 AM,276,4,19.175,17.375,-6.329
Estess,2553,10/2/20 12:00,10/2/20,12:00:00 PM,276,5,20.341,14.28,-8.187
Estess,2553,10/2/20 12:30,10/2/20,12:30:00 PM,276,6,21.819,13.158,-8.203
Estess,2553,10/2/20 13:00,10/2/20,1:00:00 PM,276,7,21.795,13.157,-8.223
Estess,2553,10/2/20 13:30,10/2/20,1:30:00 PM,276,8,23.809,12.399,-7.525
Estess,2553,10/2/20 14:00,10/2/20,2:00:00 PM,276,9,23.545,11.256,-9.147
Estess,2553,10/2/20 14:30,10/2/20,2:30:00 PM,276,10,19.627,11.171,-12.249
Estess,2553,10/2/20 15:00,10/2/20,3:00:00 PM,276,11,21.175,12.007,-10.024
Estess,2553,10/2/20 15:30,10/2/20,3:30:00 PM,276,12,19.08,13.594,-9.879
Estess,2553,10/2/20 16:00,10/2/20,4:00:00 PM,276,13,20.698,11.987,-10.416
Estess,2553,10/2/20 16:30,10/2/20,4:30:00 PM,276,14,19.436,12.634,-10.64
Estess,2553,10/2/20 17:00,10/2/20,5:00:00 PM,276,15,19.698,11.455,-11.836
Estess,2553,10/2/20 17:30,10/2/20,5:30:00 PM,276,16,20.15,11.789,-11.077
Estess,2553,10/2/20 18:00,10/2/20,6:00:00 PM,276,17,18.152,12.648,-11.623
Estess,2553,10/2/20 18:30,10/2/20,6:30:00 PM,276,18,14.194,15.775,-11.689
Estess,2553,10/2/20 19:00,10/2/20,7:00:00 PM,276,19,11.904,18.031,-11.734
Estess,2553,10/2/20 19:30,10/2/20,7:30:00 PM,276,20,11.904,18.504,-11.386
Estess,2553,10/2/20 20:00,10/2/20,8:00:00 PM,276,21,12.001,19.387,-10.68
Estess,2553,10/2/20 20:30,10/2/20,8:30:00 PM,276,22,9.238,26.111,-9.03
Estess,2553,10/2/20 21:00,10/2/20,9:00:00 PM,276,23,7.544,27.578,-9.767
Estess,2553,10/2/20 21:30,10/2/20,9:30:00 PM,276,24,4.766,32.637,-10.005
Estess,2553,10/2/20 22:00,10/2/20,10:00:00 PM,276,25,3.564,32.872,-10.973
Estess,2553,10/2/20 22:30,10/2/20,10:30:00 PM,276,26,3.433,34.908,-10.324
Estess,2553,10/2/20 23:00,10/2/20,11:00:00 PM,276,27,0.577,39.417,-11.35
Estess,2553,10/2/20 23:30,10/2/20,11:30:00 PM,276,28,1.208,39.241,-10.837
Estess,2553,10/3/20 0:00,10/3/20,12:00:00 AM,277,29,0.632,41.654,-10.611
Estess,2553,10/3/20 0:30,10/3/20,12:30:00 AM,277,30,0.934,41.507,-10.381
Estess,2553,10/3/20 1:00,10/3/20,1:00:00 AM,277,31,0.356,42.836,-10.513
Estess,2553,10/3/20 1:30,10/3/20,1:30:00 AM,277,32,-0.648,48.28,-9.949
Estess,2553,10/3/20 2:00,10/3/20,2:00:00 AM,277,33,-1.242,49.439,-10.206
Estess,2553,10/3/20 2:30,10/3/20,2:30:00 AM,277,34,-0.507,48.625,-9.73
Estess,2553,10/3/20 3:00,10/3/20,3:00:00 AM,277,35,-1.871,52.565,-10.039
Estess,2553,10/3/20 3:30,10/3/20,3:30:00 AM,277,36,-2.363,55.635,-9.807
Estess,2553,10/3/20 4:00,10/3/20,4:00:00 AM,277,37,-3.183,59.506,-9.767
Estess,2553,10/3/20 4:30,10/3/20,4:30:00 AM,277,38,-3.33,62.556,-9.306
Estess,2553,10/3/20 5:00,10/3/20,5:00:00 AM,277,39,-3.508,60.377,-9.901
Estess,2553,10/3/20 5:30,10/3/20,5:30:00 AM,277,40,-2.976,60.804,-9.311
Estess,2553,10/3/20 6:00,10/3/20,6:00:00 AM,277,41,-4.895,64.124,-10.504
Estess,2553,10/3/20 6:30,10/3/20,6:30:00 AM,277,42,-5.357,70.152,-9.891
Estess,2553,10/3/20 7:00,10/3/20,7:00:00 AM,277,43,-4.469,70.115,-9.04
Estess,2553,10/3/20 7:30,10/3/20,7:30:00 AM,277,44,-3.568,66.669,-8.771
Estess,2553,10/3/20 8:00,10/3/20,8:00:00 AM,277,45,-0.451,59.653,-7.149
Estess,2553,10/3/20 8:30,10/3/20,8:30:00 AM,277,46,4.35,45.85,-5.998
Estess,2553,10/3/20 9:00,10/3/20,9:00:00 AM,277,47,8.668,36.414,-5.113
Estess,2553,10/3/20 9:30,10/3/20,9:30:00 AM,277,48,10.785,31.973,-4.982
Estess,2553,10/3/20 10:00,10/3/20,10:00:00 AM,277,49,12.799,29.084,-4.512
Estess,2553,10/3/20 10:30,10/3/20,10:30:00 AM,277,50,14.337,23.868,-5.903
Estess,2553,10/3/20 11:00,10/3/20,11:00:00 AM,277,51,16.392,22.766,-4.828
Estess,2553,10/3/20 11:30,10/3/20,11:30:00 AM,277,52,17.891,19.636,-5.652
Estess,2553,10/3/20 12:00,10/3/20,12:00:00 PM,277,53,20.293,18.23,-4.739
Estess,2553,10/3/20 12:30,10/3/20,12:30:00 PM,277,54,21.366,18.013,-4.038
Estess,2553,10/3/20 13:00,10/3/20,1:00:00 PM,277,55,22.513,17.799,-3.281
Estess,2553,10/3/20 13:30,10/3/20,1:30:00 PM,277,56,23.4,16.733,-3.464
Estess,2553,10/3/20 14:00,10/3/20,2:00:00 PM,277,57,23.713,16.12,-3.759
Estess,2553,10/3/20 14:30,10/3/20,2:30:00 PM,277,58,24.75,14.415,-4.576
Estess,2553,10/3/20 15:00,10/3/20,3:00:00 PM,277,59,26.061,13.911,-4.075
Estess,2553,10/3/20 15:30,10/3/20,3:30:00 PM,277,60,25.065,15.064,-3.679
Estess,2553,10/3/20 16:00,10/3/20,4:00:00 PM,277,61,24.388,14.61,-4.665
Estess,2553,10/3/20 16:30,10/3/20,4:30:00 PM,277,62,24.146,14.95,-4.517
Estess,2553,10/3/20 17:00,10/3/20,5:00:00 PM,277,63,22.298,16.466,-4.582
Estess,2553,10/3/20 17:30,10/3/20,5:30:00 PM,277,64,21.27,17.038,-4.916
Estess,2553,10/3/20 18:00,10/3/20,6:00:00 PM,277,65,20.079,18.494,-4.708
Estess,2553,10/3/20 18:30,10/3/20,6:30:00 PM,277,66,14.697,22.921,-6.157
Estess,2553,10/3/20 19:00,10/3/20,7:00:00 PM,277,67,11.637,26.426,-6.814
Estess,2553,10/3/20 19:30,10/3/20,7:30:00 PM,277,68,9.361,30.357,-6.922
Estess,2553,10/3/20 20:00,10/3/20,8:00:00 PM,277,69,6.965,34.879,-7.196
Estess,2553,10/3/20 20:30,10/3/20,8:30:00 PM,277,70,8.643,32.679,-6.572
Estess,2553,10/3/20 21:00,10/3/20,9:00:00 PM,277,71,6.965,36.335,-6.66
Estess,2553,10/3/20 21:30,10/3/20,9:30:00 PM,277,72,4.818,39.426,-7.522
