genotype,elevation,Treatment,Tmin,tray,column,row,cell,cohort,plantID,label,freezing_date,freezing_OD,Germinated,Final_status,day_until_germination,day_of_death
93_4,2911,Control,4,1,1,A,1A,1,f_seed1,f_seed1_1_1A,10/10/22,283,1,1,9,101
93_4,2911,Control,4,1,1,A,1A,1,f_seed1A,f_seed1A_1_1A,10/10/22,283,0,0,101,NA
68_2,2904,Control,4,1,1,B,1B,1,f_seed2,f_seed2_1_1B,10/10/22,283,0,0,101,NA
68_2,2904,Control,4,1,1,B,1B,1,f_seed2A,f_seed2A_1_1B,10/10/22,283,0,0,101,NA
262_3,2717,Control,4,1,1,C,1C,1,f_seed48,f_seed48_1_1C,10/10/22,283,1,1,14,101
262_3,2717,Control,4,1,1,C,1C,1,f_seed48A,f_seed48A_1_1C,10/10/22,283,0,0,101,NA
255_7,3342,Control,4,1,1,D,1D,1,f_seed4,f_seed4_1_1D,10/10/22,283,0,0,101,NA
255_7,3342,Control,4,1,1,D,1D,1,f_seed4A,f_seed4A_1_1D,10/10/22,283,0,0,101,NA
283_14,2890,Control,4,1,1,E,1E,1,f_seed5,f_seed5_1_1E,10/10/22,283,1,1,19,101
283_14,2890,Control,4,1,1,E,1E,1,f_seed5A,f_seed5A_1_1E,10/10/22,283,0,0,101,NA
263_1,2795,Control,4,1,1,F,1F,1,f_seed6,f_seed6_1_1F,10/10/22,283,0,0,101,NA
263_1,2795,Control,4,1,1,F,1F,1,f_seed6A,f_seed6A_1_1F,10/10/22,283,0,0,101,NA
250_4,3133,Control,4,1,1,G,1G,1,f_seed7,f_seed7_1_1G,10/10/22,283,1,1,7,101
250_4,3133,Control,4,1,1,G,1G,1,f_seed7A,f_seed7A_1_1G,10/10/22,283,1,1,14,101
322_1,2999,Control,4,1,1,H,1H,1,f_seed8,f_seed8_1_1H,10/10/22,283,1,1,14,101
322_1,2999,Control,4,1,1,H,1H,1,f_seed8A,f_seed8A_1_1H,10/10/22,283,0,0,101,NA
297B_7,3431,Control,4,1,1,I,1I,1,f_seed9,f_seed9_1_1I,10/10/22,283,1,1,7,101
297B_7,3431,Control,4,1,1,I,1I,1,f_seed9A,f_seed9A_1_1I,10/10/22,283,1,1,14,101
302_1,3511,Control,4,1,2,A,2A,1,f_seed11,f_seed11_1_2A,10/10/22,283,1,1,21,35
302_1,3511,Control,4,1,2,A,2A,1,f_seed11A,f_seed11A_1_2A,10/10/22,283,0,0,101,NA
107_4,3091,Control,4,1,2,B,2B,1,f_seed12,f_seed12_1_2B,10/10/22,283,0,0,101,NA
107_4,3091,Control,4,1,2,B,2B,1,f_seed12A,f_seed12A_1_2B,10/10/22,283,0,0,101,NA
255_39,3342,Control,4,1,2,C,2C,1,f_seed13,f_seed13_1_2C,10/10/22,283,1,1,19,101
255_39,3342,Control,4,1,2,C,2C,1,f_seed13A,f_seed13A_1_2C,10/10/22,283,1,1,21,101
270_26,2553,Control,4,1,2,D,2D,1,f_seed14,f_seed14_1_2D,10/10/22,283,0,0,101,NA
270_26,2553,Control,4,1,2,D,2D,1,f_seed14A,f_seed14A_1_2D,10/10/22,283,0,0,101,NA
266_4,2992,Control,4,1,2,E,2E,1,f_seed15,f_seed15_1_2E,10/10/22,283,1,1,8,101
266_4,2992,Control,4,1,2,E,2E,1,f_seed15A,f_seed15A_1_2E,10/10/22,283,0,0,101,NA
323_11,2734,Control,4,1,2,F,2F,1,f_seed16,f_seed16_1_2F,10/10/22,283,1,1,8,101
323_11,2734,Control,4,1,2,F,2F,1,f_seed16A,f_seed16A_1_2F,10/10/22,283,1,1,21,101
83_1,2994,Control,4,1,2,G,2G,1,f_seed17,f_seed17_1_2G,10/10/22,283,0,0,101,NA
83_1,2994,Control,4,1,2,G,2G,1,f_seed17A,f_seed17A_1_2G,10/10/22,283,0,0,101,NA
212_13,3131,Control,4,1,2,H,2H,1,f_seed18,f_seed18_1_2H,10/10/22,283,1,1,14,101
212_13,3131,Control,4,1,2,H,2H,1,f_seed18A,f_seed18A_1_2H,10/10/22,283,0,0,101,NA
102_3,3072,Control,4,1,2,I,2I,1,f_seed19,f_seed19_1_2I,10/10/22,283,1,1,11,101
102_3,3072,Control,4,1,2,I,2I,1,f_seed19A,f_seed19A_1_2I,10/10/22,283,0,0,101,NA
269_20,2800,Control,4,1,2,J,2J,1,f_seed20,f_seed20_1_2J,10/10/22,283,0,0,101,NA
269_20,2800,Control,4,1,2,J,2J,1,f_seed20A,f_seed20A_1_2J,10/10/22,283,0,0,101,NA
154_1,2992,Control,4,1,3,A,3A,1,f_seed21,f_seed21_1_3A,10/10/22,283,1,1,7,101
154_1,2992,Control,4,1,3,A,3A,1,f_seed21A,f_seed21A_1_3A,10/10/22,283,1,1,11,101
50_1,2934,Control,4,1,3,B,3B,1,f_seed22,f_seed22_1_3B,10/10/22,283,0,0,101,NA
50_1,2934,Control,4,1,3,B,3B,1,f_seed22A,f_seed22A_1_3B,10/10/22,283,0,0,101,NA
86_2,2880,Control,4,1,3,C,3C,1,f_seed23,f_seed23_1_3C,10/10/22,283,1,1,8,101
86_2,2880,Control,4,1,3,C,3C,1,f_seed23A,f_seed23A_1_3C,10/10/22,283,0,0,101,NA
162_2,3055,Control,4,1,3,D,3D,1,f_seed24,f_seed24_1_3D,10/10/22,283,1,1,7,101
