leaf,genotype,elevation,treatment,Tmin,tray,column,row,cell,plantID,init_size,freezing_date,census_date,freezing_OD,census_OD,Final_status,Date_of_death,RGR_total,final_size
two,162_2A,3055,Control,4,new1,1,A,1A,frz_new1,3,3/22/22,3/25/22,81,84,1,45,0.029860772,11.5
two,273_18C,2710,Control,4,new1,1,B,1B,frz_new2,5.8,3/22/22,3/25/22,81,84,0,45,-0.016183078,2.8
two,63_8,2960,Control,4,new1,1,C,1C,frz_new3,8.5,3/22/22,3/25/22,81,84,1,45,0.009097311,12.8
two,253_3A,3460,Control,4,new1,1,D,1D,frz_new4,6.7,3/22/22,3/25/22,81,84,1,45,0.007524493,9.4
two,63_8,2960,Control,4,new1,1,E,1E,frz_new5,5.7,3/22/22,3/25/22,81,84,1,45,0.012268191,9.9
two,253_3A,3460,Control,4,new1,1,F,1F,frz_new6,9.5,3/22/22,3/25/22,81,84,0,31,NA,NA
two,255_7A,3342,Control,4,new1,1,I,1I,frz_new9,7,3/22/22,3/25/22,81,84,0,31,NA,NA
two,262_3A,2717,Control,4,new1,1,J,1J,frz_new10,5.6,3/22/22,3/25/22,81,84,0,22,NA,NA
two,269_20C,2800,Control,4,new1,2,A,2A,frz_new11,9.5,3/22/22,3/25/22,81,84,1,45,0.006970168,13
two,256_3C,2735,Control,4,new1,2,B,2B,frz_new12,6.9,3/22/22,3/25/22,81,84,1,45,0.013904576,12.9
two,255_7A,3342,Control,4,new1,2,C,2C,frz_new13,5.1,3/22/22,3/25/22,81,84,1,45,0.013588203,9.4
two,273_18C,2710,Control,4,new1,2,D,2D,frz_new14,6.9,3/22/22,3/25/22,81,84,0,45,-0.012678775,3.9
two,255_7A,3342,Control,4,new1,2,E,2E,frz_new15,6.6,3/22/22,3/25/22,81,84,1,45,0.015403271,13.2
two,269_20C,2800,Control,4,new1,2,F,2F,frz_new16,8,3/22/22,3/25/22,81,84,1,45,0.003818895,9.5
two,01_4,2989,Control,4,new1,2,G,2G,frz_new17,7.6,3/22/22,3/25/22,81,84,1,45,0.012268191,13.2
two,185_2,3411,Control,4,new1,2,H,2H,frz_new18,9.2,3/22/22,3/25/22,81,84,0,31,NA,NA
two,253_3A,3460,Control,4,new1,2,J,2J,frz_new20,5.1,3/22/22,3/25/22,81,84,0,22,NA,NA
two,63_8,2960,Control,4,new1,3,B,3B,frz_new22,7.1,3/22/22,3/25/22,81,84,1,45,0.010326843,11.3
two,211_6,3122,Control,4,new1,3,C,3C,frz_new23,6.6,3/22/22,3/25/22,81,84,1,45,0.006644036,8.9
two,257_2,2754,Control,4,new1,3,D,3D,frz_new24,5.1,3/22/22,3/25/22,81,84,1,45,0.006717353,6.9
two,180_5,3249,Control,4,new1,3,E,3E,frz_new25,8.5,3/22/22,3/25/22,81,84,1,45,0.006327479,11.3
two,162_2A,3055,Control,4,new1,3,F,3F,frz_new26,5.5,3/22/22,3/25/22,81,84,1,45,0.010444525,8.8
two,256_14,2735,Control,4,new1,3,G,3G,frz_new27,7.1,3/22/22,3/25/22,81,84,1,45,0.010129311,11.2
two,253_3A,3460,Control,4,new1,3,H,3H,frz_new28,4.7,3/22/22,3/25/22,81,84,1,45,-0.000477916,4.6
two,269_20C,2800,Control,4,new1,3,I,3I,frz_new29,3.1,3/22/22,3/25/22,81,84,1,45,0.021343599,8.1
two,49_2,2935,Control,4,new1,4,C,4C,frz_new33,3.2,3/22/22,3/25/22,81,84,0,6,NA,NA
two,269_20C,2800,Control,4,new1,4,D,4D,frz_new34,6.9,3/22/22,3/25/22,81,84,1,45,0.008685918,10.2
two,180_5,3249,Control,4,new1,4,E,4E,frz_new35,4.6,3/22/22,3/25/22,81,84,1,45,0.014666555,8.9
two,63_8,2960,Control,4,new1,4,F,4F,frz_new36,7.6,3/22/22,3/25/22,81,84,1,45,0.013733923,14.1
two,262_3A,2717,Control,4,new1,4,G,4G,frz_new37,6.5,3/22/22,3/25/22,81,84,1,45,0.010867818,10.6
two,91_2,2910,Control,4,new1,4,H,4H,frz_new38,4.2,3/22/22,3/25/22,81,84,1,45,0.018137939,9.5
two,214_7,2694,Control,4,new1,4,I,4I,frz_new39,8.3,3/22/22,3/25/22,81,84,1,45,0.000529126,8.5
two,63_8,2960,Control,4,new1,4,J,4J,frz_new40,4.9,3/22/22,3/25/22,81,84,1,45,0.009753623,7.6
two,255_7A,3342,Control,4,new1,5,A,5A,frz_new41,7.9,3/22/22,3/25/22,81,84,1,45,0.012071267,13.6
two,214_7,2694,Control,4,new1,5,C,5C,frz_new43,6.6,3/22/22,3/25/22,81,84,1,45,0.006392935,8.8
two,199_1,3502,Control,4,new1,5,F,5F,frz_new46,7.6,3/22/22,3/25/22,81,84,1,45,0.005191441,9.6
two,214_7,2694,Control,4,new1,5,G,5G,frz_new47,6.6,3/22/22,3/25/22,81,84,1,45,0.011148736,10.9
two,273_18C,2710,Control,4,new1,5,H,5H,frz_new48,5.4,3/22/22,3/25/22,81,84,0,45,-0.020988036,2.1
two,49_1A,2935,Control,4,new1,5,I,5I,frz_new49,4.2,3/22/22,3/25/22,81,84,1,45,0.012284218,7.3
two,273_18C,2710,Control,4,new1,6,A,6A,frz_new51,4,3/22/22,3/25/22,81,84,0,45,-0.002341345,3.6
two,213_1A,2790,Control,4,new1,6,B,6B,frz_new52,4.2,3/22/22,3/25/22,81,84,1,45,0.008293428,6.1
two,213_1A,2790,Control,4,new1,6,C,6C,frz_new53,3.4,3/22/22,3/25/22,81,84,1,45,0.014739871,6.6
two,211_6,3122,Control,4,new1,6,D,6D,frz_new54,6.1,3/22/22,3/25/22,81,84,1,45,0.011205481,10.1
two,262_3A,2717,Control,4,new1,6,F,6F,frz_new56,5.2,3/22/22,3/25/22,81,84,1,45,0.00984901,8.1
two,180_5,3249,Control,4,new1,6,G,6G,frz_new57,9.7,3/22/22,3/25/22,81,84,1,45,0.003975094,11.6
two,256_3C,2735,Control,4,new1,6,H,6H,frz_new58,8.5,3/22/22,3/25/22,81,84,1,45,-0.001347214,8
two,63_8,2960,Control,4,new1,6,I,6I,frz_new59,6.9,3/22/22,3/25/22,81,84,1,45,0.01229745,12
two,269_20C,2800,Control,4,new1,7,A,7A,frz_new61,7.2,3/22/22,3/25/22,81,84,1,45,0.005447166,9.2
two,269_20C,2800,Control,4,new1,7,B,7B,frz_new62,6.9,3/22/22,3/25/22,81,84,1,45,0.007338704,9.6
two,214_7,2694,Control,4,new1,7,C,7C,frz_new63,8.6,3/22/22,3/25/22,81,84,1,45,0.007587628,12.1
two,211_6,3122,Control,4,new1,7,D,7D,frz_new64,10.5,3/22/22,3/25/22,81,84,1,45,-0.002937151,9.2
two,262_3A,2717,Control,4,new1,7,E,7E,frz_new65,4.9,3/22/22,3/25/22,81,84,1,45,0.010330856,7.8
two,207_5,3219,Control,4,new1,7,G,7G,frz_new67,4,3/22/22,3/25/22,81,84,1,45,0.01455391,7.7
two,269_20C,2800,Control,4,new1,7,I,7I,frz_new69,7.9,3/22/22,3/25/22,81,84,1,45,0.002397532,8.8
two,262_3A,2717,Control,4,new1,7,J,7J,frz_new70,5.1,3/22/22,3/25/22,81,84,1,45,0.018069033,11.5
two,273_18C,2710,Control,4,new1,8,A,8A,frz_new71,3.9,3/22/22,3/25/22,81,84,0,31,NA,NA
two,256_3C,2735,Control,4,new1,8,B,8B,frz_new72,7.6,3/22/22,3/25/22,81,84,1,45,0.003757252,9
two,256_3C,2735,Control,4,new1,8,C,8C,frz_new73,6.5,3/22/22,3/25/22,81,84,1,45,0.005162933,8.2
two,262_3A,2717,Control,4,new1,8,E,8E,frz_new75,3.6,3/22/22,3/25/22,81,84,1,45,0.009818506,5.6
two,213_1A,2790,Control,4,new1,8,F,8F,frz_new76,3.7,3/22/22,3/25/22,81,84,1,45,0.014483599,7.1
two,63_8,2960,Control,4,new1,8,G,8G,frz_new77,4.3,3/22/22,3/25/22,81,84,0,45,-0.00457449,3.5
two,211_6,3122,Control,4,new1,8,H,8H,frz_new78,6.1,3/22/22,3/25/22,81,84,1,45,0.004885766,7.6
two,63_8,2960,Control,4,new1,8,I,8I,frz_new79,10.2,3/22/22,3/25/22,81,84,1,45,0.001063467,10.7
two,01_4,2989,Control,4,new1,8,J,8J,frz_new80,8,3/22/22,3/25/22,81,84,1,45,0.005830317,10.4
two,63_8,2960,Control,4,new1,9,A,9A,frz_new81,8.9,3/22/22,3/25/22,81,84,1,45,0.008759235,13.2
two,91_2,2910,Control,4,new1,9,B,9B,frz_new82,2.6,3/22/22,3/25/22,81,84,0,10,NA,NA
two,49_1A,2935,Control,4,new1,9,D,9D,frz_new84,4,3/22/22,3/25/22,81,84,1,45,0.007477161,5.6
two,253_3A,3460,Control,4,new1,9,E,9E,frz_new85,4.7,3/22/22,3/25/22,81,84,1,45,-0.004146355,3.9
two,162_2A,3055,Control,4,new1,9,G,9G,frz_new87,6.5,3/22/22,3/25/22,81,84,1,45,0.010867818,10.6
two,207_5,3219,Control,4,new1,9,H,9H,frz_new88,3.6,3/22/22,3/25/22,81,84,0,31,NA,NA
two,269_20C,2800,Control,4,new1,9,I,9I,frz_new89,6.3,3/22/22,3/25/22,81,84,1,45,0.005584765,8.1
two,01_4,2989,Control,4,new1,10,A,10A,frz_new91,5.7,3/22/22,3/25/22,81,84,1,45,0.010150187,9
two,180_5,3249,Control,4,new1,10,B,10B,frz_new92,10,3/22/22,3/25/22,81,84,1,45,0.006668991,13.5
two,49_1A,2935,Control,4,new1,10,C,10C,frz_new93,3.9,3/22/22,3/25/22,81,84,0,13,NA,NA
two,211_6,3122,Control,4,new1,10,D,10D,frz_new94,8.2,3/22/22,3/25/22,81,84,1,45,0,8.2
two,01_4,2989,Control,4,new1,10,E,10E,frz_new95,8.1,3/22/22,3/25/22,81,84,1,45,0.01215985,14
two,185_2,3411,Control,4,new1,10,F,10F,frz_new96,9.4,3/22/22,3/25/22,81,84,1,45,0.006860788,12.8
two,49_1A,2935,Control,4,new1,10,G,10G,frz_new97,6.9,3/22/22,3/25/22,81,84,1,45,0.010363864,11
two,162_2A,3055,Control,4,new1,10,H,10H,frz_new98,5.1,3/22/22,3/25/22,81,84,1,45,0.013823361,9.5
two,185_2,3411,Control,4,new1,10,J,10J,frz_new100,7.8,3/22/22,3/25/22,81,84,1,45,0.006816228,10.6
two,185_2,3411,Control,4,new1,11,B,11B,frz_new102,7.7,3/22/22,3/25/22,81,84,1,45,0.007518351,10.8
two,253_3A,3460,Control,4,new1,11,C,11C,frz_new103,7,3/22/22,3/25/22,81,84,1,45,0.006786259,9.5
two,185_2,3411,Control,4,new1,11,D,11D,frz_new104,5.9,3/22/22,3/25/22,81,84,0,3,NA,NA
two,273_18C,2710,Control,4,new1,11,F,11F,frz_new106,6.6,3/22/22,3/25/22,81,84,1,45,0.001622781,7.1
two,253_3A,3460,Control,4,new1,11,G,11G,frz_new107,10.4,3/22/22,3/25/22,81,84,1,45,0.001246433,11
two,91_2,2910,Control,4,new1,11,H,11H,frz_new108,4.4,3/22/22,3/25/22,81,84,1,45,-0.002680622,3.9
two,256_14,2735,Control,4,new1,11,I,11I,frz_new109,8,3/22/22,3/25/22,81,84,1,45,0.003105821,9.2
two,214_7,2694,Control,4,new1,11,J,11J,frz_new110,2.1,3/22/22,3/25/22,81,84,1,45,0.02218953,5.7
two,211_6,3122,Control,4,new1,12,B,12B,frz_new112,6.6,3/22/22,3/25/22,81,84,1,45,0.006892332,9
two,01_4,2989,Control,4,new1,12,C,12C,frz_new113,7.1,3/22/22,3/25/22,81,84,1,45,0.007832014,10.1
two,211_6,3122,Control,4,new1,12,D,12D,frz_new114,5.3,3/22/22,3/25/22,81,84,1,45,0.005862546,6.9
two,49_2,2935,Control,4,new1,12,E,12E,frz_new115,7.1,3/22/22,3/25/22,81,84,1,45,0.004259276,8.6
two,214_7,2694,Control,4,new1,12,G,12G,frz_new117,9,3/22/22,3/25/22,81,84,1,45,0.003425571,10.5
two,49_1A,2935,Control,4,new1,12,I,12I,frz_new119,4.6,3/22/22,3/25/22,81,84,1,45,0.008685918,6.8
two,256_3C,2735,Control,4,new1,13,C,13C,frz_new123,7.5,3/22/22,3/25/22,81,84,1,45,0.003298222,8.7
two,213_1A,2790,Control,4,new1,13,D,13D,frz_new124,5.3,3/22/22,3/25/22,81,84,1,45,0.004535452,6.5
two,185_2,3411,Control,4,new1,13,G,13G,frz_new127,9.7,3/22/22,3/25/22,81,84,1,45,0.007672665,13.7
two,180_5,3249,Control,4,new1,13,H,13H,frz_new128,5.1,3/22/22,3/25/22,81,84,1,45,0.0118685,8.7
two,162_2A,3055,Control,4,new1,13,I,13I,frz_new129,1.9,3/22/22,3/25/22,81,84,0,3,NA,NA
two,209_2A,2721,Control,4,new1,13,J,13J,frz_new130,6.2,3/22/22,3/25/22,81,84,1,45,0.009715862,9.6
two,49_1A,2935,Control,4,new1,14,A,14A,frz_new131,4,3/22/22,3/25/22,81,84,0,45,0.011791739,6.8
two,185_2,3411,Control,4,new1,14,B,14B,frz_new132,8,3/22/22,3/25/22,81,84,1,45,0.008636844,11.8
two,262_3A,2717,Control,4,new1,14,D,14D,frz_new134,4.9,3/22/22,3/25/22,81,84,1,45,0.002967364,5.6
two,256_3C,2735,Control,4,new1,14,E,14E,frz_new135,4.9,3/22/22,3/25/22,81,84,1,45,0.005229202,6.2
two,256_3C,2735,Control,4,new1,14,F,14F,frz_new136,6,3/22/22,3/25/22,81,84,1,45,0.009255888,9.1
two,257_2,2754,Control,4,new1,14,G,14G,frz_new137,6.1,3/22/22,3/25/22,81,84,1,45,0.00788965,8.7
two,262_3A,2717,Control,4,new1,14,H,14H,frz_new138,5,3/22/22,3/25/22,81,84,1,45,0.00810318,7.2
two,269_20C,2800,Control,4,new1,14,I,14I,frz_new139,4.5,3/22/22,3/25/22,81,84,1,45,0.020063727,11.1
two,273_18C,2710,Control,4,new1,14,J,14J,frz_new140,5.5,3/22/22,3/25/22,81,84,0,45,-0.007639368,3.9
two,180_5,3249,Control,4,new1,15,A,15A,frz_new141,5.5,3/22/22,3/25/22,81,84,1,45,0.012836318,9.8
two,211_6,3122,Control,4,new1,15,B,15B,frz_new142,7.4,3/22/22,3/25/22,81,84,1,45,0.0048383,9.2
two,162_2A,3055,Control,4,new1,15,C,15C,frz_new143,6,3/22/22,3/25/22,81,84,0,36,NA,NA
two,91_2,2910,Control,4,new1,15,F,15F,frz_new146,5.9,3/22/22,3/25/22,81,84,1,45,0.012809398,10.5
two,207_5,3219,Control,4,new1,15,G,15G,frz_new147,7.6,3/22/22,3/25/22,81,84,1,45,0.003508956,8.9
two,262_3A,2717,Control,4,new1,15,H,15H,frz_new148,5.7,3/22/22,3/25/22,81,84,1,45,0.002918578,6.5
two,214_7,2694,Control,4,new1,15,I,15I,frz_new149,7.7,3/22/22,3/25/22,81,84,1,45,0.005808106,10
two,211_6,3122,Control,4,new1,15,J,15J,frz_new150,5.7,3/22/22,3/25/22,81,84,0,20,NA,NA
two,253_3A,3460,Control,4,new1,16,C,16C,frz_new153,6.6,3/22/22,3/25/22,81,84,0,45,0.005882057,8.6
two,49_2,2935,Control,4,new1,16,E,16E,frz_new155,5.4,3/22/22,3/25/22,81,84,0,36,NA,NA
two,256_14,2735,Control,4,new1,16,F,16F,frz_new156,6.7,3/22/22,3/25/22,81,84,1,45,0.002800905,7.6
two,255_7A,3342,Control,4,new1,16,G,16G,frz_new157,7.9,3/22/22,3/25/22,81,84,1,45,-0.000569832,7.7
two,214_7,2694,Control,4,new1,16,I,16I,frz_new159,2.1,3/22/22,3/25/22,81,84,0,6,NA,NA
two,185_2,3411,Control,4,new1,16,J,16J,frz_new160,8.6,3/22/22,3/25/22,81,84,1,45,0.001010275,9
two,257_2,2754,Control,4,new1,17,B,17B,frz_new162,6,3/22/22,3/25/22,81,84,0,45,0.008000061,8.6
two,257_2,2754,Control,4,new1,17,C,17C,frz_new163,4.9,3/22/22,3/25/22,81,84,0,45,-0.001403976,4.6
two,256_14,2735,Control,4,new1,17,D,17D,frz_new164,7.8,3/22/22,3/25/22,81,84,0,45,0.002169744,8.6
two,262_3A,2717,Control,4,new1,17,E,17E,frz_new165,6.6,3/22/22,3/25/22,81,84,0,45,0.004823656,8.2
two,63_8,2960,Control,4,new1,17,G,17G,frz_new167,5.7,3/22/22,3/25/22,81,84,0,45,0.006098597,7.5
two,269_20C,2800,Control,4,new1,17,H,17H,frz_new168,5,3/22/22,3/25/22,81,84,1,45,0.00405159,6
two,01_4,2989,Control,4,new1,17,I,17I,frz_new169,6.7,3/22/22,3/25/22,81,84,0,18,NA,NA
two,255_7A,3342,Control,4,new1,17,J,17J,frz_new170,3.9,3/22/22,3/25/22,81,84,1,45,0.010301616,6.2
two,214_7,2694,Control,4,new1,18,B,18B,frz_new172,2.5,3/22/22,3/25/22,81,84,0,6,NA,NA
two,199_1,3502,Control,4,new1,18,C,18C,frz_new173,7.3,3/22/22,3/25/22,81,84,0,45,0.001472209,7.8
two,180_5,3249,Control,4,new1,18,D,18D,frz_new174,5.1,3/22/22,3/25/22,81,84,0,45,0.002471681,5.7
two,199_1,3502,Control,4,new1,18,F,18F,frz_new176,4.7,3/22/22,3/25/22,81,84,0,45,0.00853242,6.9
two,01_4,2989,Control,4,new1,18,G,18G,frz_new177,4.8,3/22/22,3/25/22,81,84,0,45,0.000907155,5
two,185_2,3411,Control,4,new1,18,H,18H,frz_new178,8,3/22/22,3/25/22,81,84,0,45,0.00405159,9.6
two,162_2A,3055,Control,4,new1,18,I,18I,frz_new179,6.1,3/22/22,3/25/22,81,84,1,45,0.002738503,6.9
two,63_8,2960,Control,4,new1,18,J,18J,frz_new180,8.3,3/22/22,3/25/22,81,84,1,45,0.006258661,11
two,63_8,2960,Control,4,new1,19,A,19A,frz_new181,9.1,3/22/22,3/25/22,81,84,0,31,NA,NA
two,255_7A,3342,Control,4,new1,19,D,19D,frz_new184,5.5,3/22/22,3/25/22,81,84,0,36,NA,NA
two,209_2A,2721,Control,4,new1,19,E,19E,frz_new185,5.6,3/22/22,3/25/22,81,84,0,45,-0.009818506,3.6
two,180_5,3249,Control,4,new1,19,F,19F,frz_new186,5.7,3/22/22,3/25/22,81,84,0,45,-0.004286748,4.7
two,185_2,3411,Control,4,new1,19,H,19H,frz_new188,6.5,3/22/22,3/25/22,81,84,0,45,0.006221334,8.6
two,255_7A,3342,Control,4,new1,19,J,19J,frz_new190,6.3,3/22/22,3/25/22,81,84,0,18,NA,NA
two,49_2,2935,Control,4,new1,20,A,20A,frz_new191,4.1,3/22/22,3/25/22,81,84,0,22,NA,NA
two,63_8,2960,Control,4,new1,20,B,20B,frz_new192,5.2,3/22/22,3/25/22,81,84,0,36,NA,NA
two,185_2,3411,Control,4,new1,20,C,20C,frz_new193,4.6,3/22/22,3/25/22,81,84,0,45,0.00356317,5.4
two,162_2A,3055,Control,4,new1,20,D,20D,frz_new194,2.9,3/22/22,3/25/22,81,84,0,6,NA,NA
two,209_2A,2721,Control,4,new1,20,E,20E,frz_new195,4.1,3/22/22,3/25/22,81,84,0,36,NA,NA
two,180_5,3249,Control,4,new1,20,F,20F,frz_new196,2.6,3/22/22,3/25/22,81,84,0,45,0.004614208,3.2
two,256_14,2735,Control,4,new1,20,G,20G,frz_new197,8.6,3/22/22,3/25/22,81,84,0,6,NA,NA
two,211_6,3122,Control,4,new1,20,I,20I,frz_new199,5.7,3/22/22,3/25/22,81,84,0,45,0.015009947,11.2
two,180_5,3249,Control,4,new1,20,J,20J,frz_new200,5,3/22/22,3/25/22,81,84,0,10,NA,NA
two,185_2,3411,TempA,-17.2,new2,1,A,1A,frz_new201,4.8,3/23/22,3/25/22,82,84,0,9,NA,NA
two,49_1A,2935,TempA,-17.2,new2,1,B,1B,frz_new202,7.9,3/23/22,3/25/22,82,84,0,5,NA,NA
two,211_6,3122,TempA,-17.2,new2,1,D,1D,frz_new204,4.3,3/23/22,3/25/22,82,84,0,5,NA,NA
two,180_5,3249,TempA,-17.2,new2,1,E,1E,frz_new205,9.5,3/23/22,3/25/22,82,84,0,9,NA,NA
two,185_2,3411,TempA,-17.2,new2,1,G,1G,frz_new207,5.6,3/23/22,3/25/22,82,84,0,5,NA,NA
two,262_3A,2717,TempA,-17.2,new2,1,H,1H,frz_new208,4.6,3/23/22,3/25/22,82,84,0,5,NA,NA
two,185_2,3411,TempA,-17.2,new2,1,J,1J,frz_new210,8.6,3/23/22,3/25/22,82,84,0,5,NA,NA
two,63_8,2960,TempA,-17.2,new2,2,A,2A,frz_new211,5.7,3/23/22,3/25/22,82,84,0,5,NA,NA
