time,hour,Step,Temp,Tmin
7:00:00 PM,0,1,4,-17.2
8:00:00 PM,1,3,-6,-17.2
8:30:00 PM,1.5,4,-5.1,-17.2
9:00:00 PM,2,5,-7.1,-17.2
9:30:00 PM,2.5,6,-7.3,-17.2
10:00:00 PM,3,7,-8.5,-17.2
10:30:00 PM,3.5,8,-8.6,-17.2
11:00:00 PM,4,9,-10.1,-17.2
11:30:00 PM,4.5,10,-10.7,-17.2
12:00:00 AM,5,11,-11.5,-17.2
12:30:00 AM,5.5,12,-12.1,-17.2
1:00:00 AM,6,13,-13.6,-17.2
1:30:00 AM,6.5,14,-13.6,-17.2
2:00:00 AM,7,15,-13.6,-17.2
2:30:00 AM,7.5,16,-14.3,-17.2
3:00:00 AM,8,17,-14,-17.2
3:30:00 AM,8.5,18,-15,-17.2
4:00:00 AM,9,19,-15.1,-17.2
4:30:00 AM,9.5,20,-15.6,-17.2
5:00:00 AM,10,21,-15.8,-17.2
5:30:00 AM,10.5,22,-17.2,-17.2
6:00:00 AM,11,23,-16.4,-17.2
6:30:00 AM,11.5,24,-16.7,-17.2
7:00:00 AM,12,25,-16.8,-17.2
7:30:00 AM,12.5,26,-13.5,-17.2
8:00:00 AM,13,27,-8,-17.2
9:00:00 AM,14,28,4,-17.2
7:00:00 PM,0,1,4,-10.7
8:00:00 PM,1,3,-2.1,-10.7
8:30:00 PM,1.5,4,-2.9,-10.7
9:00:00 PM,2,5,-4.4,-10.7
9:30:00 PM,2.5,6,-4.6,-10.7
10:00:00 PM,3,7,-6,-10.7
10:30:00 PM,3.5,8,-6.7,-10.7
11:00:00 PM,4,9,-6.5,-10.7
11:30:00 PM,4.5,10,-7,-10.7
12:00:00 AM,5,11,-7,-10.7
12:30:00 AM,5.5,12,-7,-10.7
1:00:00 AM,6,13,-8.4,-10.7
1:30:00 AM,6.5,14,-9,-10.7
2:00:00 AM,7,15,-9.4,-10.7
2:30:00 AM,7.5,16,-9.6,-10.7
3:00:00 AM,8,17,-10,-10.7
3:30:00 AM,8.5,18,-10.7,-10.7
4:00:00 AM,9,19,-10,-10.7
4:30:00 AM,9.5,20,-8,-10.7
5:00:00 AM,10,21,-8.6,-10.7
5:30:00 AM,10.5,22,-8.5,-10.7
6:00:00 AM,11,23,-8.4,-10.7
6:30:00 AM,11.5,24,-8,-10.7
7:00:00 AM,12,25,-7.1,-10.7
7:30:00 AM,12.5,26,-5.9,-10.7
8:00:00 AM,13,27,-3.9,-10.7
9:00:00 AM,14,28,4,-10.7
7:00:00 PM,0,1,4,-5.7
8:00:00 PM,1,3,2.2,-5.7
8:30:00 PM,1.5,4,1.3,-5.7
9:00:00 PM,2,5,0.2,-5.7
9:30:00 PM,2.5,6,-0.5,-5.7
10:00:00 PM,3,7,-1.3,-5.7
10:30:00 PM,3.5,8,-1.8,-5.7
11:00:00 PM,4,9,-2.4,-5.7
11:30:00 PM,4.5,10,-2.6,-5.7
12:00:00 AM,5,11,-2.9,-5.7
12:30:00 AM,5.5,12,-2.9,-5.7
1:00:00 AM,6,13,-3.5,-5.7
1:30:00 AM,6.5,14,-3.8,-5.7
2:00:00 AM,7,15,-4,-5.7
2:30:00 AM,7.5,16,-4.2,-5.7
3:00:00 AM,8,17,-4.4,-5.7
3:30:00 AM,8.5,18,-4.2,-5.7
4:00:00 AM,9,19,-4.4,-5.7
4:30:00 AM,9.5,20,-4.4,-5.7
5:00:00 AM,10,21,-4.6,-5.7
5:30:00 AM,10.5,22,-5,-5.7
6:00:00 AM,11,23,-5.5,-5.7
6:30:00 AM,11.5,24,-5.7,-5.7
7:00:00 AM,12,25,-3.8,-5.7
7:30:00 AM,12.5,26,-0.9,-5.7
8:00:00 AM,13,17,1.6,-5.7
9:00:00 AM,14,28,4,-5.7
7:00:00 PM,0,1,4,4
8:00:00 PM,1,3,4,4
8:30:00 PM,1.5,4,4,4
9:00:00 PM,2,5,4,4
9:30:00 PM,2.5,6,4,4
10:00:00 PM,3,7,4,4
10:30:00 PM,3.5,8,4,4
11:00:00 PM,4,9,4,4
11:30:00 PM,4.5,10,4,4
12:00:00 AM,5,11,4,4
12:30:00 AM,5.5,12,4,4
1:00:00 AM,6,13,4,4
1:30:00 AM,6.5,14,4,4
2:00:00 AM,7,15,4,4
2:30:00 AM,7.5,16,4,4
3:00:00 AM,8,17,4,4
3:30:00 AM,8.5,18,4,4
4:00:00 AM,9,19,4,4
4:30:00 AM,9.5,20,4,4
5:00:00 AM,10,21,4,4
5:30:00 AM,10.5,22,4,4
6:00:00 AM,11,23,4,4
6:30:00 AM,11.5,24,4,4
7:00:00 AM,12,25,4,4
7:30:00 AM,12.5,26,4,4
8:00:00 AM,13,27,4,4
9:00:00 AM,14,28,4,4
