Masterfile_position,Block,Garden,Garden_Block,Year,SnowMeltDOY,Elev,GDD_nosnow,CWD_snow_min,GS_length,FDD_early,treat
1,1,Estess,E_1seed,2014,107,2553,3792.931777,-499.8,78,10.5820305,control
2,1,Estess,E_1seed,2015,89,2553,3852.354711,-429.7,147,13.75497031,control
3,1,Estess,E_1seed,2016,80,2553,3838.780175,-504.3,119,61.73035028,control
4,1,Estess,E_1seed,2017,100,2553,3811.138055,-569.2,84,6.891223843,control
5,1,Estess,E_1seed,2018,84,2553,3997.667508,-703.2,94.56340129,35.30563668,control
6,1,Estess,E_1seed,2019,115,2553,3627.071703,-594.8,94,0,control
7,1,Estess,E_1seed,2020,96,2553,4082.051836,-695.1,85,23.15381038,control
8,1,Estess,E_1seed,2021,95,2553,3968.306057,-597.2,94,22.00514349,control
9,1,Estess,E_1seed,2022,92.73071636,2553,3952.864839,-569.4,99.26928364,35.77630664,control
10,2,Estess,E_2seed,2014,100,2553,3792.931777,-514.9,87,17.41173614,removal
11,2,Estess,E_2seed,2015,85,2553,3852.354711,-427.6,151,13.75497031,removal
12,2,Estess,E_2seed,2016,80,2553,3838.780175,-504.3,119,61.73035028,control
13,2,Estess,E_2seed,2017,88,2553,3811.138055,-582.2,96,20.38636539,removal
14,2,Estess,E_2seed,2018,84,2553,3997.667508,-658.7,107.6266736,35.30563668,removal
15,2,Estess,E_2seed,2019,98,2553,3627.071703,-609.6,111,13.87794269,removal
16,2,Estess,E_2seed,2020,95,2553,4082.051836,-694.1,86,23.15381038,removal
17,2,Estess,E_2seed,2021,95,2553,3968.306057,-597.2,94,22.00514349,removal
18,2,Estess,E_2seed,2022,92.73071636,2553,3952.864839,-569.6,106.9123878,43.28924586,removal
19,3,Estess,E_3seed,2014,108,2553,3792.931777,-499.8,78,10.5820305,control
20,3,Estess,E_3seed,2015,89,2553,3852.354711,-429.7,147,13.75497031,control
21,3,Estess,E_3seed,2016,80,2553,3838.780175,-504.3,119,61.73035028,control
22,3,Estess,E_3seed,2017,100,2553,3811.138055,-569.2,84,6.891223843,control
23,3,Estess,E_3seed,2018,84,2553,3997.667508,-703.2,94.43449632,35.30563668,control
24,3,Estess,E_3seed,2019,116,2553,3627.071703,-597.7,93,0,control
25,3,Estess,E_3seed,2020,96,2553,4082.051836,-695.1,85,23.15381038,control
26,3,Estess,E_3seed,2021,95,2553,3968.306057,-597.2,94,22.00514349,control
27,3,Estess,E_3seed,2022,92.85962132,2553,3952.864839,-569.4,99.14037868,35.77630664,control
28,4,Estess,E_4seed,2014,101,2553,3792.931777,-514.9,87,17.41173614,removal
29,4,Estess,E_4seed,2015,83,2553,3852.354711,-424.1,153,17.16978149,removal
30,4,Estess,E_4seed,2016,80,2553,3838.780175,-504.3,119,61.73035028,control
31,4,Estess,E_4seed,2017,88,2553,3811.138055,-582.2,96,20.38636539,removal
32,4,Estess,E_4seed,2018,84,2553,3997.667508,-658.7,107.8844835,35.30563668,removal
33,4,Estess,E_4seed,2019,98,2553,3627.071703,-609.6,111,13.87794269,removal
34,4,Estess,E_4seed,2020,95,2553,4082.051836,-694.1,86,23.15381038,removal
35,4,Estess,E_4seed,2021,95,2553,3968.306057,-597.2,94,22.00514349,removal
36,4,Estess,E_4seed,2022,92.85962132,2553,3952.864839,-573.1,107.1701978,44.00716721,removal
37,5,Estess,E_5seed,2014,105,2553,3792.931777,-505.3,80,10.5820305,control
38,5,Estess,E_5seed,2015,89,2553,3852.354711,-429.7,147,13.75497031,control
39,5,Estess,E_5seed,2016,80,2553,3838.780175,-504.3,119,61.73035028,control
40,5,Estess,E_5seed,2017,100,2553,3811.138055,-569.2,84,6.891223843,control
41,5,Estess,E_5seed,2018,84,2553,3997.667508,-703.2,94.9501162,35.30563668,control
42,5,Estess,E_5seed,2019,114,2553,3627.071703,-599,95,0,control
43,5,Estess,E_5seed,2020,96,2553,4082.051836,-695.1,85,23.15381038,control
44,5,Estess,E_5seed,2021,95,2553,3968.306057,-597.2,94,22.00514349,control
45,5,Estess,E_5seed,2022,92.34400145,2553,3952.864839,-569.4,99.65599855,35.77630664,control
